tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***91789,20100103,16,PARK 9M OF INTERSCTING HIGHWAY,40,1056,S/S,GALLEY AVE,E/O,SORAUREN AVE,ON
***66668,20100103,5,PARK-HWY DRNG PROH TIMES/DAYS,40,1057,NR,2596 DANFORTH AVE,,,ON
***21177,20100103,9,STOP HWY PROHIBITED TIME/DAY,60,1057,NR,519 ST CLAIR AVE W,,,ON
***82260,20100103,5,PARK HWY PRO TIMES/DAYS,40,1058,N/S,WINDSOR AVE,W/O,BLANTYRE AVE,ON
***64437,20100103,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1059,AT,2259 JANE ST,,,ON
***36749,20100103,2,PARK LONGER THAN 3 HOURS,15,1059,OPP,131 GALLOWAY RD,,,ON
***35998,20100103,5,PARK HWY PRO TIMES/DAYS,40,1100,,180 CHESTER LE BL,,,ON
***35999,20100103,5,PARK HWY PRO TIMES/DAYS,40,1100,,180 CHESTER LE BL,,,ON
***11629,20100103,5,PARK HWY PRO TIMES/DAYS,40,1100,OPP,2368 QUEEN ST E,,,ON
***21575,20100103,9,STOP HWY PROHIBITED TIME/DAY,60,1100,N/S,SHUTER ST,W/O,CHURCH ST,ON
***51000,20100103,2,PARK LONGER THAN 3 HOURS,15,1100,NR,141 GALLOWAY RD,,,ON
***64438,20100103,3,PARK/LEAVE ON PRIVATE PROPERTY,30,1101,AT,2259 JANE ST,,,ON
***51001,20100103,2,PARK LONGER THAN 3 HOURS,15,1101,NR,141 GALLOWAY RD,,,ON
***84225,20100103,5,PARK-HWY DRNG PROH TIMES/DAYS,40,1102,NR,310 SPADINA AVE,,,ON
***91197,20100103,8,STD VEH HWY PROHIB TIME/DAY,60,1102,NR,253 OSSINGTON AVE,,,ON
***56643,20100103,8,STD VEH HWY PROHIB TIME/DAY,60,1103,NR,61 FRONT ST W,,,ON
***21178,20100103,8,STD VEH HWY PROHIB TIME/DAY,60,1104,OPP,7 HILLTOP RD,,,NJ
